text,all_hashtags,lang,hashtag
"‘SETTING BOUNDARIES IS ESSENTIAL’

Ito ang ibinahagi ng BINI member na si Aiah sa kanyang “#AskAiah” series sa social media platform na X. https://t.co/3KQxi5o6Vr",['AskAiah'],tl,#AskAiah
Good morning boss. Top spot parin #AskAiah hanggang mamaya pa ba tayo? Hihi https://t.co/7d8NNPUpSd,['AskAiah'],tl,#AskAiah
#AskAiah :) let’s do a Q&amp;A session tonight 😋,['AskAiah'],en,#AskAiah
#AskAiah ba 'to or recap ng Q&amp;A sa top 5 ng Miss Universe? Aiah's mind is what makes her even more beautiful that really sets her apart to other pretty girls for me. Kinda wanna have an off-the-record conversation with her about societal and life enriching topics. https://t.co/22CFy5lVbb,['AskAiah'],en,#AskAiah
#AskAiah @bini_aiah rn https://t.co/bgNNFZYIFX,['AskAiah'],und,#AskAiah
@bini_aiah do this with nini please #AskAiah  https://t.co/Wx7zay4EcC,['AskAiah'],en,#AskAiah
"Honeybee sikat 🐶🩵 

Unreleased photo of you and Ninibear please? #AskAiah https://t.co/Ubs7L3GEw2",['AskAiah'],en,#AskAiah
Deserve ba ng Bestie Blooms ng voucher pa tonight? @bini_aiah 🧡🌸 #AskAiah #Shopee1212MegaPamaskoSale 🎄,"['AskAiah', 'Shopee1212MegaPamaskoSale']",tl,#AskAiah
"the difference between the engagements and it hasn’t even been an hour yet 😭 nawindang siguro siya sa dami ng tanong kaya ang tagal before siya nakapag answer hahahahwsuahuahs 

#DearAiah #AskAiah https://t.co/M7JUUcrIe3","['DearAiah', 'AskAiah']",tl,#AskAiah
@bini_aiah #AskAiah gaano mo ka miss si ling2x https://t.co/rMZX07ONIZ,['AskAiah'],tl,#AskAiah
@bini_aiah #AskAiah best thing that happened to you this 2024? https://t.co/mraRTHBZ1L,['AskAiah'],en,#AskAiah
@bini_aiah #AskAiah not a question pero i hope ma notice nimo ako decors sa house 🥹 https://t.co/i3nytgYNhB,['AskAiah'],en,#AskAiah
@bini_aiah @baeniedengdeng if may gising pa po na drawerist/artist jan or #AskAiah any tips po how to overcome kapag may creative’s block kayo… https://t.co/n5ltn6U582,['AskAiah'],tl,#AskAiah
Mukhang most asked questions sa #AskAiah ay about kay Nini at Tom Cruise HAHAHAHA https://t.co/aRD7G2BYmD,['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah Ate Aiah, the mother of solo travelling. Pahingi naman po ng tips and tricks pag mags-solo travel. I’m planning (hopefully) to have my first every solo travel next year and medyo ngarag pa nerves ko kasi as an overthinker marami akong nega na naiisip",['AskAiah'],tl,#AskAiah
"@bini_aiah anong feeling na sinabi ni anne curtis na ang cute mo daw? #AskAiah 

https://t.co/7R24p6mtqm",['AskAiah'],tl,#AskAiah
"#AskAiah @bini_aiah , ano pa po yung isang SQ??

isang SQ lang kasi na-search ko huehue😭🥹 https://t.co/faAoMCsGfw",['AskAiah'],tl,#AskAiah
"And that’s on the Dean’s Lister of Enderun Colleges, everyone! 🥹

#AskAiah #BINI @BINI_ph https://t.co/Iqro8JCSGE","['AskAiah', 'BINI']",en,#AskAiah
"After reading #AskAiah Q&amp;As, mas lalo ko tuloy ni lo-look forward makita si Aiah sa MU PH sa future!! Kasi total package naman talaga 😩🩵",['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah, marami ka po bang naisip na name for your baby doggy before ka nagdecide na Honey na name niyaa? ano po behind story sa name ni Honey?  🥹",['AskAiah'],tl,#AskAiah
Nageemote sila or may nakitang ibon? #AskAiah https://t.co/QGM48LpRq4,['AskAiah'],tl,#AskAiah
"The New Britain property makes $BOLT.CN ( $PCRCF ) a standout in the critical minerals market. 🚀

$ADBE $LXRX $BLCO  #AskAiah #Venom $LCID $PLTR #shailenzo #BBK11  #sstvi #tommavi #BiggBossTamil8 https://t.co/7Hjhop6PmM","['AskAiah', 'Venom', 'shailenzo', 'BBK11', 'sstvi', 'tommavi', 'BiggBossTamil8']",en,#AskAiah
"EQ - emotional.quotient
IQ - intellogence quotient
AQ - adversity ""   ""
CQ - creative ""   ""
2 SQs - Social and Spiritual ""   ""

#AskAiah #BINI","['AskAiah', 'BINI']",en,#AskAiah
"Ang taray ng #AskAiah! Trending in:

Philippines 🇵🇭
UAE 🇦🇪
Canada 🇨🇦
Puerto Rico 🇵🇷
USA 🇺🇸
Worldwide 🌏 https://t.co/WlyOX73KOd",['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah Your birthday is coming up (advance happy birthday), at your age do you feel the pressure most people in their 20's feel? What i mean is, do you ever think if you're in the place where God wants you to be? Do you ever question the things you're experiencing right now?",['AskAiah'],en,#AskAiah
good morning. tuloy tuloy pala ang #AskAiah hanggang walang sinasabing tapos na 😌,['AskAiah'],tl,#AskAiah
@bini_aiah #AskAiah any dance challenge tiktoks soon…? 🤲 https://t.co/bCc5yPS35G,['AskAiah'],et,#AskAiah
"uhm.. guys? 😭 #AskAiah 

halata kung ano madalas na tanong ah hahahah https://t.co/BrzS2mNgKU",['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah, beh ikaw ba talaga si Mama Mary?  😭 https://t.co/2rx5GRlHyr",['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah, pag mag post ka ng colaiah tiktok, magpapa kalbo ako",['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah, beh gawa ka din ng thread kung sino sa girls ang palaging nanghihingi ng pasalubong from you hehehe",['AskAiah'],tl,#AskAiah
@bini_aiah @kyrawrgail #AskAiah pinsan mo rin po ba si Taylor,['AskAiah'],tl,#AskAiah
"have you ever regretted not saying something to someone?
 #AskAiah",['AskAiah'],en,#AskAiah
#AskAiah pwede mangayog unseen photo ninyo ni jhoanna? Hahaha gashung okay rag wala uy. Okay ra bitaw. HAHAHA,['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah, rate my bag please :))) https://t.co/sMBQC6WJUn",['AskAiah'],en,#AskAiah
Bakit mahilig sa psychology ang mga pinanganak sa month of January? #AskAiah,['AskAiah'],tl,#AskAiah
"@bini_aiah Magagalit ka ba ka ba kung nakita ko ang OG Mama Mary tonight?? Sksksksksk #AskAiah 

Ikaw pa rin ang Mama Mary ko pero huhu Ms. Iza Calzado 😭 https://t.co/LK8Riwz3Rx",['AskAiah'],tl,#AskAiah
@bini_maloi @bini_aiah #AskAiah nabigyan niyo na po ba ng rice si maloi???,['AskAiah'],tl,#AskAiah
*/si aiah after makita yung number ng questions sa #AskAiah https://t.co/IaeXbsrge4,['AskAiah'],tl,#AskAiah
"@bini_aiah #AskAiah kaya ka ba ganado sumagot kasi natawag kang cute? 😏

One dot if yes haha https://t.co/OE1GqStaYL",['AskAiah'],tl,#AskAiah
@bini_aiah What’s one thing you’ve always wanted to try but haven’t had the chance to yet? #AskAiah,['AskAiah'],en,#AskAiah
