text,all_hashtags,lang,hashtag
"THAT'S A GOOD SIGN @ChuckPaganoNFL 🎯

30 $500 WINNERS 💰💰

🔘Repost this video
🔘Reply saying something nice to somebody
🔘Put the easiest way to pay you as well

#PMSLive https://t.co/RLSN2TnfnE",['PMSLive'],en,#PMSLive
"Great Life Hack very useful but I have so many questions 💀

#TheGameAwards #luigi #PMSLive #RedSeaIFF #TikTok #BeckyXRedSeaFilm https://t.co/YOOeDTcAxg","['TheGameAwards', 'luigi', 'PMSLive', 'RedSeaIFF', 'TikTok', 'BeckyXRedSeaFilm']",en,#PMSLive
"""I'm sure that everybody is aware of the schedule but our job this week is the Philadelphia Eagles..

Things are business as usual but it's gonna quickly change once we're on the other side of Philadelphia"" ~ @CoachTomlin 

We''ll do the shit talking for you 😂😂 #PMSLive https://t.co/WKJ2mJKxZo",['PMSLive'],en,#PMSLive
"LADIES AND GENTLEMEN..

MT. BOOM IS ONTO THE FINAL ROUND..

IT IS TIME FOR THE NEXT THREE ENTRIES INTO #RAMTRUCKED #PMSLIVE https://t.co/Rpi6eYfD6P","['RAMTRUCKED', 'PMSLIVE']",en,#PMSLive
"What happened to our kids? 🤷🏻‍♂️

The difference of two worlds ! 💔

#WhylChime #YouTubeTV #CentralchidlomxNuNew #PMSLive #TheGameAwards #RedSeaIFF https://t.co/ghPpODnxII","['WhylChime', 'YouTubeTV', 'CentralchidlomxNuNew', 'PMSLive', 'TheGameAwards', 'RedSeaIFF']",en,#PMSLive
"The CFP commercial is SOMETHING 😂😂

#PMSLive https://t.co/wN27Vjrx67",['PMSLive'],en,#PMSLive
"Rich Rodriguez wants to go back to West Virginia and make it right..

He has unfinished business and he's VERY motivated #PMSLive https://t.co/6nuz5S4lbJ",['PMSLive'],en,#PMSLive
"TWENTY PEOPLE WOULD FOLLOW THIS MAN OUT OF HOUSTON'S..

THIS SUPERHERO SAVED HOUSTON'S AND SAVED THE CITY OF SCOTTSDALE #PMSLive https://t.co/TWOllZY1Fv",['PMSLive'],en,#PMSLive
"The worst driver of ALL TIME @brucebrahn 😂😂

#PMSLive https://t.co/9V56ws56Qi",['PMSLive'],en,#PMSLive
"🚨GIVEAWAY WINNERS🚨

Congratulations to all of the winners #PMSLive https://t.co/a47Z6xTcVS",['PMSLive'],en,#PMSLive
