text,all_hashtags,lang,hashtag
"No live audiences, ALL Pre-recorded performances, no ""and the winner is.."", just here take your trophy... TRASH! #BBMAS https://t.co/HJI6QERlSw",['BBMAS'],en,#BBMAs
"JUNGKOOK HA GANADO 2 BBMAs #bbmas

🏆 Top K-Pop Album “GOLDEN”
🏆 Top Global K-Pop Song “Standing Next to You” https://t.co/0IMWOigpbF",['bbmas'],en,#BBMAs
"We love our Top Global K-Pop Artist, @Stray_Kids 🖤 #BBMAs https://t.co/HWLFsPYa2N",['BBMAs'],en,#BBMAs
"Congrats on your first Billboard Music Award, @Stray_Kids! 🏆 #BBMAs https://t.co/SuKACJzxRX",['BBMAs'],en,#BBMAs
"The Golden Maknae #JungKook has won TWO #BBMAs:

🏆 Top K-Pop Album “GOLDEN”
🏆 Top Global K-Pop Song “Standing Next to You” https://t.co/f7piNxGyap","['JungKook', 'BBMAs']",en,#BBMAs
"[스키지기]
Mindblowing that we just performed &amp; won Top K-Pop Album at this year's BBMAs🤯
It's all thanks to you, STAY💙💙

STAY 덕분에 멋있는 무대도 하고 멋진 상을 받을 수 있었습니다🏆
고마워요 STAY💙💙

#StrayKids #스트레이키즈
#BBMAs @BBMAs @billboard
#5_STAR #특 #S_Class https://t.co/0kYP2C6bsP","['StrayKids', '스트레이키즈', 'BBMAs', '5_STAR', '특', 'S_Class', '樂_STAR', 'ROCK_STAR', '락', '樂', 'LALALALA', 'YouMakeStrayKidsStay']",ko,#BBMAs
"""5-Star"" by @Stray_Kids gets ⭐️⭐️⭐️⭐️⭐️ and a #BBMAs WIN for Top K-Pop Album! 🏆 Congratulations! https://t.co/YsM8gJ6O2X",['BBMAs'],en,#BBMAs
"Honored to be finalists for the 2024 @BBMAs! Thank you #BBMAs   , and of course, ARMY 💜

#지민 #Jimin #정국 #JungKook https://t.co/749MdPq5vo","['BBMAs', '지민', 'Jimin', '정국', 'JungKook']",en,#BBMAs
"TEN #BBMAs WINS for @taylorswift13 including ❤️ TOP ARTIST 💛 Congratulations!

🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆 https://t.co/pdcnIIkHPX",['BBMAs'],en,#BBMAs
"#KPop Artists With the Most Wins at the #BBMAs

🥇 BTS - 12
🥈 Jung Kook - 3 ⬆️
🥉 Stray Kids - 2 ⬆️
PSY - 1
NewJeans - 1
BLACKPINK - 1
SEVENTEEN - 1 🆕 https://t.co/P0i0ZA4QVj","['KPop', 'BBMAs']",en,#BBMAs
Shoutout to @Stray_Kids for winning Top Global K-Pop Artist at the #BBMAs! 🌎🎤 https://t.co/8uKzUXHcGF,['BBMAs'],en,#BBMAs
SVT at the #BBMAs! 💎 @pledis_17 https://t.co/9t6g0LZIMx,['BBMAs'],sv,#BBMAs
"Taylor Swift on becoming the most awarded artist in #BBMAs history, with 10 wins tonight:

“This is exactly what I wanted.” https://t.co/j9RN2R67wX",['BBMAs'],en,#BBMAs
