text,all_hashtags,lang,hashtag
"We’re running it back with the holiday #WhyIChime 💚Share #WhyIChime for a chance at $5,000 🎁
How to enter:

1️⃣ Reply with why you love Chime &amp; include #WhyIChime
2️⃣ Drop your $ChimeSign
3️⃣ Follow @Chime

No purch nec. Void where prohibited. Ends 12/13. For T&amp;C + entry methods⬇️ https://t.co/EDoJQJTexP","['WhyIChime', 'WhyIChime', 'WhyIChime']",en,#WhyIChime
#WhyIChime https://t.co/cqFAw4lmBw,['WhyIChime'],qme,#WhyIChime
"#WhyIChime  Honestly banking shouldn't feel like a chore and for me Chime keeps it simple. No hidden fees, no minimums, and i get paid up to 2 days early with direct deposit. Plus, the app is actually simple to use.
It's cool having a bank that's on your side for once💯. https://t.co/WgoSija2R5",['WhyIChime'],en,#WhyIChime
"The best AI community releasing a AI marketing tool that will change the game🐈‍⬛🐈‍⬛🐈‍⬛
@CatalorianOGETH 

#WhyIChime
$VSG https://t.co/qfc4PwtObu",['WhyIChime'],en,#WhyIChime
"#WhyIChime because after January 20th 2025, I will be Chimed out of the news media because I don't want hear a peep about how America failed all because they voted dirty orange ignorance back into the White House!
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 https://t.co/k7XTJApBqM",['WhyIChime'],en,#WhyIChime
Chime stop playing with me where is my direct deposit. Too busy twitting  #WhyIChime https://t.co/QFy7l4vJbQ,['WhyIChime'],en,#WhyIChime
"I just watched this on YouTube TV

Think carefully, maybe even twice or thrice, before deciding to get married! 😎

#WhyIChime https://t.co/X6oW9e2aRx",['WhyIChime'],en,#WhyIChime
@Chime The reason #WhyIChime is I love getting paid two days early. I also love the credit builder and the best feature is the spot me boost. $jagsfan4lyfe @Chime To be honest Chime is the BEST 🎅🏻🎅🏻🎅🏻 https://t.co/JM1gHvQLcu,['WhyIChime'],en,#WhyIChime
"Bling bling boom, let this May money bloom! Tell us #WhyIChime and enter for a shot at $500 or $1,000 🍀 Here’s how:

1️⃣Comment why you love Chime &amp; include #WhyIChime
2️⃣Drop your $ChimeSign
3️⃣Follow Chime

No purch nec. Void where prohibited. Ends 5/11. Rules + entry methods ⬇️ https://t.co/0U6UoAXEPZ","['WhyIChime', 'WhyIChime']",en,#WhyIChime
"Double down on summer fun(ds)! Give us your hot take on #WhyIChime for a shot at $500 or $1000 🌴 Here’s how:

1️⃣Reply with why you love Chime &amp; include #WhyIChime
2️⃣Follow Chime
3️⃣Drop your $ChimeSign

No purch nec. Void where prohibited. Ends 6/16. T&amp;C + entry methods⬇️ https://t.co/3ApEkOJlau","['WhyIChime', 'WhyIChime']",en,#WhyIChime
