text,all_hashtags,lang,hashtag
They really found a random black dude with a beard and picked him to be Trent Williams 😂 #9ers #trentwilliams #rams #TNFonPrime https://t.co/6FTWcZDzJD,"['9ers', 'trentwilliams', 'rams', 'TNFonPrime']",en,#TNFonPrime
"What did Deebo’s community note say again? Someone remind me please…
#FTTB #TNFonPrime 
 https://t.co/qzS92PpzH0","['FTTB', 'TNFonPrime']",en,#TNFonPrime
"Trent Williams right???🤣 #TNFonPrime 
#Ramsvs49ers https://t.co/TOHROnOAc1","['TNFonPrime', 'Ramsvs49ers']",en,#TNFonPrime
"This Thursday Night Football game of the Rams vs 49ers has to be the worst game in recent memory. 

Just a boring 🥱 slow lack of effort and energy game. 

#tnfonprime #nfl https://t.co/QMfdSemnz8","['tnfonprime', 'nfl']",en,#TNFonPrime
"Aye I found this lil lady funny AH . Gonna be some big hits in this gane!!!
#NFL    #RamsHouse    #TNFonPrime #SanFrancisco #sportsthatmatter https://t.co/8Lk3CrIV9a","['NFL', 'RamsHouse', 'TNFonPrime', 'SanFrancisco', 'sportsthatmatter']",en,#TNFonPrime
Yoooooooooo! Al Michaels and Herbie trusting the camera man way too much. Trent Willams nowhere in this frame 😂 #TNFonPrime https://t.co/c1xyM8Pxal,['TNFonPrime'],en,#TNFonPrime
"Matthew Stafford connects with Puka Nakua on a 51-yard dime for a massive gain! 🔥 #TNFOnPrime #RamsHouse
 https://t.co/wc9lCa4ovS","['TNFOnPrime', 'RamsHouse']",en,#TNFonPrime
Anyone else having audio issues with #TNFonPrime @amazon,['TNFonPrime'],en,#TNFonPrime
"7 punts in the first quarter.........the Bears aren't even playing
#TNFonPrime #TNF https://t.co/5BlEjIWyta","['TNFonPrime', 'TNF']",en,#TNFonPrime
@amazon check your sound levels for #TNFonPrime I can't hear commentary over stadium sounds,['TNFonPrime'],en,#TNFonPrime
"POV: Running out of the tunnel with Dre Greenlaw 😤 

@49ers | #TNFonPrime https://t.co/6vWZkBVyaR",['TNFonPrime'],en,#TNFonPrime
Am I the only Seahawks fan who feels dirty watching #TNFonPrime and rooting for the Niners? 🤮 #LARvsSF https://t.co/Aj7YKeH4Ql,"['TNFonPrime', 'LARvsSF']",en,#TNFonPrime
