text,all_hashtags,lang,hashtag
#PlayStationWrapUp2024 https://t.co/oolTvYQBpw,['PlayStationWrapUp2024'],qme,#playstationwrapup
"When you've been working 2 jobs all year and staying off the internet but still game more than most of the people console warring on Twitter. &gt;&gt;&gt;

#PlayStationWrapUp2024 https://t.co/41G9qMD1fF",['PlayStationWrapUp2024'],en,#playstationwrapup
"my #PlayStationWrapUp2024 😎

share yours in the comments 👇 https://t.co/G4SLiox4yf",['PlayStationWrapUp2024'],en,#playstationwrapup
"#PlayStationWrapUp2024 101 Games this year and nearly 2.4K hours!

IM A REAL GAMER! https://t.co/5ykxHifvVi",['PlayStationWrapUp2024'],en,#playstationwrapup
"I'm shocked! 😏😂

#PlayStationWrapUp2024 https://t.co/CikO56QapP",['PlayStationWrapUp2024'],en,#playstationwrapup
#PlayStationWrapUp2024 https://t.co/uU9Q1hAqQS,['PlayStationWrapUp2024'],qme,#playstationwrapup
My #PlayStationWrapUp2024 has some incorrect numbers but it's right about one thing. I played the sh*t out of Hunt Showdown. https://t.co/eICBx30vPS,['PlayStationWrapUp2024'],en,#playstationwrapup
"Mon #PlayStationWrapUp2024 est bien maigre … sachant que je ne joue sur console qu’a quelques exclus ou des jeux dont je pense revendre une fois finis … Néanmoins, j’y ai passé un bon moment ! https://t.co/4EPpFxmIyF",['PlayStationWrapUp2024'],fr,#playstationwrapup
"#PlayStationWrapUp2024 

What a surprise..Stellar Blade was the best game this year 😌 Playstation as a whole had me all year. Easily the best console to game on now that the Switch has been sunsetting. PS just has all the best games..until Switch 2 comes out 😉😜 https://t.co/Tla5xmzD6e",['PlayStationWrapUp2024'],en,#playstationwrapup
Perfect representation of my tastes &amp; methods. #PlayStationWrapUp2024 https://t.co/OxTq4qUuwK,['PlayStationWrapUp2024'],en,#playstationwrapup
"your #PlayStationWrapUp2024 is now available, some regions may still be delayed https://t.co/4KMWq63Q3Y",['PlayStationWrapUp2024'],en,#playstationwrapup
