text,all_hashtags,lang,hashtag
"#ThunderArmy, internet, do your thing!
#AEWDynamite #ThunderRosa #WTF #ToniStorm https://t.co/uKFZISjzdT","['ThunderArmy', 'AEWDynamite', 'ThunderRosa', 'WTF', 'ToniStorm']",en,#AEWDynamite
"HOLY SHIT

TONI STORM IS BACK!?!?!?!?!?!?!?

#AEWDynamite #WinterIsComing https://t.co/lkH18ihTyD","['AEWDynamite', 'WinterIsComing']",en,#AEWDynamite
"no 60s black and white Toni Storm??

this is like Deadman Undertaker returning as American Badass 
#AEWDynamite 

 https://t.co/Qb8m1FXs9M",['AEWDynamite'],en,#AEWDynamite
"Me when Christian Cage picks up a mic

#AEWDynamite https://t.co/b4P5GUjeoa",['AEWDynamite'],en,#AEWDynamite
"This is far from over.  

I will reach the top, no matter what.

#AEWDynamite #WeWantMina https://t.co/vGx3DUJ4wl","['AEWDynamite', 'WeWantMina']",en,#AEWDynamite
"SHE MAY NO LONGER BE TIMELESS BUT THIS MOMENT CERTAINLY IS!

TONI STORM IS BACK AS #AEWDynamite #WinterIsComing goes off the air! https://t.co/4bgLaKQWjs","['AEWDynamite', 'WinterIsComing']",en,#AEWDynamite
"I was dying at this little girl loving watching Christian Cage get beat 🤣
#AEWDynamite https://t.co/QPkNrP0Arw",['AEWDynamite'],en,#AEWDynamite
"FAWK

#AEWDynamite https://t.co/SF6CgXmShN",['AEWDynamite'],in,#AEWDynamite
There’s a reason the WWE never gave Ricochet the mic.#AEWDynamite https://t.co/zke4XJR8I9,['AEWDynamite'],en,#AEWDynamite
"RICOCHET CUT THE HEELISH PROMO

USED A TRICKY WAY TO BEAT BRODY 

AND NOW IS GETTING BOOED OUT THE BUILDING AFTER A GREAT MATCH 

HEEL RIC SOON COMES 🔥🔥🔥🔥 #AEW #AEWDynamite 

 https://t.co/kwzJZZkZzd","['AEW', 'AEWDynamite']",en,#AEWDynamite
Yes that was my 7 year old kid who just punched MJF on live TV @AEW #aewdynamite https://t.co/V8tVsD2h35,['aewdynamite'],en,#AEWDynamite
"Anna Jay the star of the show
🌟 🍑
#AEWDynamite #AEW https://t.co/lxr3ErWB44","['AEWDynamite', 'AEW']",en,#AEWDynamite
"Christian Cage said he’s going to beat Mox so badly that it’s going to send him back to alcoholism before I leave😦😦😦 #AEW #AEWDynamite 

 https://t.co/qzFSAarpJv","['AEW', 'AEWDynamite']",en,#AEWDynamite
"Will rockin that 87’ Billy Gunn 

#AEWDynamite https://t.co/DWo4ESmC5h",['AEWDynamite'],en,#AEWDynamite
"CM Punk rlly bitched Jack Perry backstage and then went on to have a classic with Samoa Joe…

That’s my GOAT 🤣 

#AEWDynamite https://t.co/x9x8U2P3xO",['AEWDynamite'],en,#AEWDynamite
"OOOOOOOOOO

#AEWDynamite https://t.co/wHcb3xqK01",['AEWDynamite'],und,#AEWDynamite
"BIG MINA BRING IT HOME #AEWDynamite 

 https://t.co/v7sH5M1nxV",['AEWDynamite'],en,#AEWDynamite
"“I’m going to beat you down so severely it’s going to leave you mentally scarred like you left Diddy’s party too late.”

— Samoa Joe 

#AEWDynamite 

 https://t.co/3NrkNaX1Sa",['AEWDynamite'],en,#AEWDynamite
"I loved ""Timeless"" Toni Storm. She did incredible things with that character, but this needed to happen.

In my opinion, ""Timeless"" Toni had reached its conclusion, and it was time to bring this Toni back. 🤘 #AEWDynamite https://t.co/fVtfcgND3l",['AEWDynamite'],en,#AEWDynamite
"Here come Overrated Will Osprey 
With the same match, same flips same false finishes  🥱 🥱 #AEWDynamite https://t.co/z95q8P7KAs",['AEWDynamite'],en,#AEWDynamite
"Darby even fxcking himself up in promos, he’s committed to this ish #AEW #AEWDynamite https://t.co/yQ8OMZdPSg","['AEW', 'AEWDynamite']",en,#AEWDynamite
.@orangecassidy feeling it! #AEWDynamite #AEWonTBS https://t.co/JCwEMK4ic3,"['AEWDynamite', 'AEWonTBS']",en,#AEWDynamite
"When the hostess tells me it’s going to be a 45 minute wait

#AEWDynamite https://t.co/BEQKpHXNQx",['AEWDynamite'],en,#AEWDynamite
"“While you had a Hit Row, I had a hit list, and I didn’t miss one of them.”

— Will Ospreay to Swerve 

#AEWDynamite 

 https://t.co/Z56ay2YyJT",['AEWDynamite'],en,#AEWDynamite
"UNPROTECTED HEAD SHOTS LIKE ITS 1999!!!!!!!!!!!!!!! #AEW #AEWDynamite 

 https://t.co/hy6IrgSLex","['AEW', 'AEWDynamite']",en,#AEWDynamite
Watch #AEWDynamite Tonight. I’m hunting wabbits. https://t.co/NNBgnnYXRB,['AEWDynamite'],en,#AEWDynamite
"I would make Brody King AEW Champion by being the guy to take it from Darby Allin. Probably at Full Gear this year.

The crowd reaction for this guy is insane, and he should be a face of the brand.

#AEWDynamite

https://t.co/DfRe1FqXsk",['AEWDynamite'],en,#AEWDynamite
"People in the crowd were chanting ‘CM Punk’ to which Okada tells the crowd “shut up bitches”.

#AEWDynamite 

 https://t.co/FL3UlYdECs",['AEWDynamite'],en,#AEWDynamite
"Randy Orton ain’t got shit on Mina Shirakawa

#AEWDynamite #WeWantMina https://t.co/xev5vP9oiG","['AEWDynamite', 'WeWantMina']",en,#AEWDynamite
"OH 

#AEWDynamite https://t.co/cAsLMyaMCO",['AEWDynamite'],und,#AEWDynamite
"One of the best Dynamite endings in recent memory?

#AEWDynamite https://t.co/OGEd9BUIvy",['AEWDynamite'],en,#AEWDynamite
"Ricochet and Ospreay are going crazy already with their evenly matched opening sequence!

#AEWDynamite 

 https://t.co/HGmASflMJq",['AEWDynamite'],en,#AEWDynamite
"Referee Rick Knox

#AEWDynamite https://t.co/SooFlaEKUY",['AEWDynamite'],en,#AEWDynamite
"That kiss certainly did NOT MISS

#AEWDynamite https://t.co/EDMopibuJf",['AEWDynamite'],en,#AEWDynamite
"#WWENXT last night: 874,000 viewers | 0.24 in P18-49

#AEWDynamite last night: 329,000 viewers | 0.10 in P18-49

The first hour of Dynamite went head-to-head with the final hour of NXT. https://t.co/dzYxJnk0k1","['WWENXT', 'AEWDynamite']",en,#AEWDynamite
"I can’t quite put my finger on it, but something gives me the idea Tony Schiavone was not okay with this little reveal. #AEWDynamite https://t.co/WZqP54smdZ",['AEWDynamite'],en,#AEWDynamite
"DEMON IS COMING BACK OH MY FUCKING GOD 

#AEWDynamite https://t.co/CBlabN57sG",['AEWDynamite'],en,#AEWDynamite
"This right here is art by Christian Cage

#AEWDynamite https://t.co/w2gjGmjZnx",['AEWDynamite'],en,#AEWDynamite
"🩸🩸🩸🩸

Watch #AEWDynamite LIVE on TBS!

@malakaiblxck | @RatedRCope https://t.co/jnHHL4maI0",['AEWDynamite'],en,#AEWDynamite
Do you think  Matt Cardona is a good addition to #AEW television? #AEWDynamite https://t.co/tHdJ5nRwko,"['AEW', 'AEWDynamite']",en,#AEWDynamite
"Cookingggg

#AEW #AEWDynamite
https://t.co/SZd35EAP9D","['AEW', 'AEWDynamite']",en,#AEWDynamite
