text,all_hashtags,lang,hashtag
There are no filler episodes over here. Every single episode is bringing it. EVERY. SINGLE. EPISODE! #RHOSLC https://t.co/YMsWGqol9l,['RHOSLC'],en,#RHOSLC
"The table “Angie you were wrong to say Brittani looks like a porn star”

Angie: “yeah true, let’s not insult porn stars” 
#RHOSLC https://t.co/i1zpQoFQvS",['RHOSLC'],en,#RHOSLC
I can’t believe there was a time in my life where I couldn’t tell Meredith and Lisa apart #RHOSLC https://t.co/HY0wYMRBev,['RHOSLC'],en,#RHOSLC
Mary is really the only one who doesn’t give a fuck if Lisa likes her. Lisa runs those girls like the navy #rhoslc https://t.co/Y9cTqZgTPM,['rhoslc'],en,#RHOSLC
Angie tossing the shampoo and conditioner at Britani was everything #RHOSLC https://t.co/aKjzHK6hc4,['RHOSLC'],en,#RHOSLC
"🚨 Hear me out! 🚨

What if Bravo produced a show that followed Angie K’s Salon and the drama of the hairstylists? Think LA Hair meets Pump Rules?? #RHOSLC https://t.co/3hJu1xqKSF",['RHOSLC'],en,#RHOSLC
"I don’t go up for Lisa Barlow, but her logic was actually sound as fuck when it came to the rooms and which villa people were in. 

Bronwyn is making something out of nothing in this case. #RHOSLC https://t.co/es0CjhekXc",['RHOSLC'],en,#RHOSLC
The thing about #RHOSLC is that an episode at a 50 year old’s bat mitzvah is just as good as one where homeland security storms a med spa. No one can touch this city. https://t.co/MUSFHerNXi,['RHOSLC'],en,#RHOSLC
Meredith can be a friend after this season #RHOSLC https://t.co/3o6fT6Ko5N,['RHOSLC'],en,#RHOSLC
"#RHOSLC is so stacked with storylines they sorta just skimmed over Bronwyn getting viciously attacked by dog???? 

the way ik multiple other franchises that would have stretched that into a 5 episode story arc... https://t.co/b7tKsLeb2H",['RHOSLC'],en,#RHOSLC
Now Meredith you are kind of milking this disability thing #RHOSLC https://t.co/9vnSEKHymS,['RHOSLC'],en,#RHOSLC
"Like her or loathe her, #RHOSLC Bronwyn has quickly proven she is NOT a newbie to be messed with!

Mama came in HOT and has kept the temperature turned up ever since.

...But is it TOO much? 🤔

Some fans seem to think so while others says she's TV gold! What do YOU think? 🤔❄️ https://t.co/lQKWIts6xg",['RHOSLC'],en,#RHOSLC
"Meredith really went off on Angie for ""slutshaming,"" yet turns around and sides with Lisa, who did the exact same thing to her? LMAO, talk about a double standard #RHOSLC https://t.co/zkIHLhh1Zs",['RHOSLC'],en,#RHOSLC
"Man, so many people can relate to Mary's son! 

You know how many people are still alive because they don't want to hurt their mom? I can't take this.  #RHOSLC https://t.co/JtehVb39uc",['RHOSLC'],en,#RHOSLC
"“Unless you just have no friends, I don’t know. I mean, Heather’s plastic surgeon was there. Maybe that’s why she invited us.”

Angie truly doesn’t give any f**ks this season 😂😂😂 #RHOSLC https://t.co/dBsrdruou2",['RHOSLC'],en,#RHOSLC
"Angie better not fuck up and spill Mary’s tea because girl I’m gonna be on your neck. You violate her you violate me, especially about her son #RHOSLC https://t.co/3RDAp8pFQA",['RHOSLC'],en,#RHOSLC
Damn Bronwyn that dog tore you the fuck up #RHOSLC https://t.co/ymme2iIJAX,['RHOSLC'],en,#RHOSLC
Britini getting whacked this whole season. They are clocking her tea 😭 #RHOSLC https://t.co/sfxoFPHhJq,['RHOSLC'],en,#RHOSLC
these ladies are so good together like i cannot have this cast change. they will figure out how to argue about the sky being blue #RHOSLC https://t.co/Hq8XQKfDRV,['RHOSLC'],en,#RHOSLC
"OH, when I say Mary is CARRYING this season of #RHOSLC ❄️

She continues to be open and honest with her son. Bringing the looks. Reading the girls. Anddd still giving comedic relief!

I stan!! https://t.co/q1jZj2DzXt",['RHOSLC'],en,#RHOSLC
"Bronwyn really excels in one on one's (except with Angie). Her memory is top notch, she stays focused, explains herself well and has fun little side jabs. Watching her drag Brittani, Lisa and Heather is so enjoyable #RHOSLC https://t.co/nzAeiCp8Dm",['RHOSLC'],en,#RHOSLC
"Mary really went from “who the hell is Angie?”, to “Angie, I’m confiding in you”, and i love this for them!! #RHOSLC https://t.co/0BIhpOSjrD",['RHOSLC'],en,#RHOSLC
I am so glad that Mary has a friend like Angie. Angie literally created a safe space for Mary to share once she was ready. And then. To hear her give Mary affirmations? Angie definitely won me over this season #RHOSLC https://t.co/LYrQhfzk6K,['RHOSLC'],en,#RHOSLC
"Todd every time he has to film a group scene with these ladies:

#RHOSLC https://t.co/KEE2tHasDh",['RHOSLC'],en,#RHOSLC
"The reason #RHONY is failing is because those women aren’t real. Seeing Mary share her whole, real life on #RHOSLC is the reason we watch. Not for dumb pranks and fake fights https://t.co/cWFrmusyCb","['RHONY', 'RHOSLC']",en,#RHOSLC
Meredith is really pretending that she didn’t bring Shawn’s sexuality to the cameras #RHOSLC https://t.co/FKISQAT3aB,['RHOSLC'],en,#RHOSLC
HIGH BODY COUNT HAIR! Give this woman an Oscar! #RHOSLC https://t.co/JBQm1F5xKS,['RHOSLC'],en,#RHOSLC
I want to be rich enough that my house is so big you don’t even notice a whole person sitting in the living room 😭 #RHOSLC https://t.co/UOaw2ltxn0,['RHOSLC'],en,#RHOSLC
"Britani wants a hand clap from the group for spending time with her kids after fucking up the relationship cuz she chose a man over them?!

The relationship is shitty cuz you were a shitty parent! Those girls didn’t ask to be here! What a space cadet 😩😬
#RHOSLC https://t.co/YyKwNuimGN",['RHOSLC'],en,#RHOSLC
The way Mary trust Angie is so beautiful. I love this duo! #RHOSLC https://t.co/y6uTT8Vwix,['RHOSLC'],en,#RHOSLC
Mary’s reaction to Heather saying she’s lied to all of them about her real birthday had me cackling #RHOSLC https://t.co/JFewRLhC7M,['RHOSLC'],en,#RHOSLC
"Meredith may be obsessed with bathtubs and mumbles all her words, but she’s gorgeous #RHOSLC https://t.co/1F213EIZKP",['RHOSLC'],en,#RHOSLC
"Lisa Barlow just lacks the ability to be empathetic.

She’s a 12 year old in the body of a 50 year old woman.

#RHOSLC https://t.co/eDRYU7bw6g",['RHOSLC'],en,#RHOSLC
angie &amp; meredith interrupting lisa &amp; bronwyn's argument TO ARGUE is sending me down the river! 10/10 season i swear to God #RHOSLC https://t.co/U0iiyNbCXA,['RHOSLC'],en,#RHOSLC
"Meredith: Is that what you said?
Angie: I said that?
Meredith: did you say that?
Angie: who said that?
Meredith: I was told that.
#RHOSLC https://t.co/sEazSga66R",['RHOSLC'],en,#RHOSLC
“You make everything a merch moment” Angie is center snowflake for a reason!! sksk😭 #RHOSLC https://t.co/oWvWSWpwEz,['RHOSLC'],en,#RHOSLC
"Bronwyn, Lisa is NOT your friend on this franchise. it doesn’t matter what you shared prior to. she’s showing you that you’re on HER turf now! #RHOSLC https://t.co/cpfxYHvdF5",['RHOSLC'],en,#RHOSLC
"Yes, you also inspired me to use my own money to grow my business instead of taking out millions of dollars in “loans” from gentleman in Park City and never paying them back💅🏼 #RHOSLC",['RHOSLC'],en,#RHOSLC
"“She took them bangs with her”

Mary’s reads always are top tier #RHOSLC https://t.co/qejmpd3jYU",['RHOSLC'],en,#RHOSLC
"You guys, I’m still not over last night 😂😭 Meili catching stays from Angie “It’s a bump-it! And yours is a little bit (slutty) too!” Angie is the #RHOSLC MVP. https://t.co/QO46J1GHOA",['RHOSLC'],en,#RHOSLC
