text,all_hashtags,lang,hashtag
"Which #memecoins we buying this Friday?

$CUTO $HYPE #CUTOSHI https://t.co/HyPL8enjki","['memecoins', 'CUTOSHI']",en,#CUTOSHI
"#CUTOSHI fam is getting those BTC vibes, $100

000 is on the way 🚀 as decentralized financial future takes off 🎯 #Bitcoin https://t.co/9WdrihRRCq","['CUTOSHI', 'Bitcoin']",en,#CUTOSHI
Every $1M+ backed decentralized movement enjoyer right now #CUTOSHI https://t.co/1Sz6U2cbSN,['CUTOSHI'],en,#CUTOSHI
"China is going full send on decentralized infrastructure

Just like the #CUTOSHI fam is building a decentralized financial future $BTC https://t.co/qYThqHK3is",['CUTOSHI'],en,#CUTOSHI
🚀🚀🚀🚀  #CUTOSHI https://t.co/4PFpVex5wm,['CUTOSHI'],qme,#CUTOSHI
Gn #CUTOSHI apes https://t.co/MbfWNtGEUP,['CUTOSHI'],pt,#CUTOSHI
"when you could sell your IP to #CUTOSHI degens for a single drawing and retire your family, principal over paper gains, stacking sats is the real move $BTC https://t.co/gFVnozx5vl",['CUTOSHI'],en,#CUTOSHI
"Me, when I see #CUTOSHI and $SAMO trending: Why do they keep making up these fake cryptocurrencies https://t.co/kf2r0nJaHo",['CUTOSHI'],en,#CUTOSHI
"@CatalorianOGETH
 
Great AI community releasing a AI marketing tool that will change the game
Enron
$LINGO
#CUTOSHI https://t.co/uSTp5kpUxL",['CUTOSHI'],en,#CUTOSHI
"gm, love when #CUTOSHI vibes spark those altbtc pairs to snap back up after a juicy ath $BTC https://t.co/I7oq534f2j",['CUTOSHI'],en,#CUTOSHI
my motto is to buy every #CUTOSHI farm launch thats the best way to dca when theres so much FUD best caller of my generation fr $BTC https://t.co/wdb4NY4Jh7,['CUTOSHI'],en,#CUTOSHI
"When others panic sell, thats when I stack #CUTOSHI. Buy the fear

Otherwise youll FOMO into the euphoria. $MIST. Do as you wish with this information.",['CUTOSHI'],en,#CUTOSHI
Nothing stops the #CUTOSHI gem Except for WW3 or a global DeFi meltdown #Bitcoin https://t.co/KqdJFDalwG,"['CUTOSHI', 'Bitcoin']",en,#CUTOSHI
DeFi Chad was right #CUTOSHI season is here #letsBONK,"['CUTOSHI', 'letsBONK']",en,#CUTOSHI
"Sometimes, the best trade is stacking #CUTOSHI and waiting for the decentralization wave to hit

Sitting in cash can be an edge at times $BTC https://t.co/DV7ICST6o9",['CUTOSHI'],en,#CUTOSHI
No doubt. Youre stacking #CUTOSHI like a genius. #Bitcoin https://t.co/iq830IapOg,"['CUTOSHI', 'Bitcoin']",en,#CUTOSHI
