text,all_hashtags,lang,hashtag
#GSWvsHOU #StephenCurry #dillonbrook https://t.co/IQyp6bIXx1,"['GSWvsHOU', 'StephenCurry', 'dillonbrook']",qme,#GSWvsHOU
"Yall have no Right to Complain about Officiating GSW fans.

This Guy is the Reason yall Have a Dynasty 

#GSWvsHOU https://t.co/293D7mr2Yk",['GSWvsHOU'],en,#GSWvsHOU
Houston’s 6th man  #GSWvsHOU #Dubnation https://t.co/24DIrQ5tJo,"['GSWvsHOU', 'Dubnation']",en,#GSWvsHOU
"The Rockets finally beat the Warriors after losing 15 games in 4 fucking years 🚀🚀🚀

#Rockets #HoustonRockets #NBACup #GSWvsHOU https://t.co/VAfPXFjYv2","['Rockets', 'HoustonRockets', 'NBACup', 'GSWvsHOU']",en,#GSWvsHOU
"Dillon Brooks  “I’m the best defender in the world.”

Steph Curry : 🥱 😱 
#GSWvsHou https://t.co/Fncap7bT40",['GSWvsHou'],en,#GSWvsHOU
"Jonathan Kuminga called for a technical foul for clapping.😂🤣😆

#warriors
#NBA 
#GSWvsHOU https://t.co/89MHPsoxDh","['warriors', 'NBA', 'GSWvsHOU']",en,#GSWvsHOU
"Again and again and again and again, whaaaaaaat!!!! This game #GSWvsHOU is the highlight of the quarterfinals. 🔥 🔥 

#NBACup #nbacupquarterfinal https://t.co/QuAWySV1Il","['GSWvsHOU', 'NBACup', 'nbacupquarterfinal']",en,#GSWvsHOU
My rockets actually won mane #GSWvsHOU https://t.co/O4hv8tQiuw,['GSWvsHOU'],en,#GSWvsHOU
Draymond Green with a terrible turnover and gets fouled out #dubnation #GSWvsHOU https://t.co/j4NuUCEApN,"['dubnation', 'GSWvsHOU']",en,#GSWvsHOU
"Again, whaaaaaaat!!!! This game #GSWvsHOU is the highlight of the quarterfinals. 🔥 🔥 

#NBACup #nbacupquarterfinal https://t.co/vB1JCWXGyw","['GSWvsHOU', 'NBACup', 'nbacupquarterfinal']",en,#GSWvsHOU
"Chris Paul, Look at CP3, I hope he gets that ring #GSWvsHOU https://t.co/U4lW6ujokP",['GSWvsHOU'],en,#GSWvsHOU
Omg we're finally gonna win a road game #GSWvsHOU https://t.co/4cLXmNz2iV,['GSWvsHOU'],en,#GSWvsHOU
Ime Udoka winning Coach of the Year w/ the Rockets after being “screwed” out of the Celtics Job 🔥 #NBA #Liftoff #GSWvsHOU #EmiratesNBACup https://t.co/rFfPGJaO6w,"['NBA', 'Liftoff', 'GSWvsHOU', 'EmiratesNBACup']",en,#GSWvsHOU
"Brandin Podziemski hits the clutch bucket as the shot clock expires

He's growing up fast!
#dubnation #GSWvsHOU https://t.co/jU7B5lLsTj","['dubnation', 'GSWvsHOU']",en,#GSWvsHOU
#GSWvsHOU #Liftoff https://t.co/qWEeHLm4ta,"['GSWvsHOU', 'Liftoff']",qme,#GSWvsHOU
Steve Kerr to curry after the game #DubNation  #GSWVSHOU https://t.co/cc38yv5PWq,"['DubNation', 'GSWVSHOU']",en,#GSWvsHOU
"🚨LIVE #NBA HATE Watch-Party

🏀 @Warriors 🆚 @HoustonRockets

⏰ 5pm PST/8pm EST

Powered by @Sidelines_SN

‼️ALL NBA FANS ARE WELCOME‼️

⭕📲 Download @WatchPlayback app or use 💻 Search ""PGM""

#NBAX #DubNation #Rockets #GSWvsHOU

Stream Link in Reply ⬇️⬇️⬇️⬇️⬇️⬇️ https://t.co/EivghWOaXH","['NBA', 'NBAX', 'DubNation', 'Rockets', 'GSWvsHOU']",en,#GSWvsHOU
"Steph Curry in #GSWvsHOU
doing his ""home alone"" impression after flawlessly hitting 4 3s in a row in final minutes to go from a tied game to an 11 point victory. https://t.co/GWRk8J9XhN",['GSWvsHOU'],en,#GSWvsHOU
"WARRIORS COME OUT TO PLAY !!! 

 #GSWvsHOU https://t.co/0sTuegq7v7",['GSWvsHOU'],en,#GSWvsHOU
"BREAKING: after 11 straight road Ls the Golden State Warriors finally won a game on the road. #GSWvsHOU

https://t.co/VM40xaM6zD",['GSWvsHOU'],en,#GSWvsHOU
"Horrible finish for the refs in the #GSWvsHOU game

How is that a foul on Kuminga, but Payton gets mugged and no call. 

#Rigged #Warriors https://t.co/nhrihheNEO","['GSWvsHOU', 'Rigged', 'Warriors']",en,#GSWvsHOU
Honestly Billy Kennedy should be fired #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
Honestly worst foul call ever …. Billy Kennedy is the worst official in the NBA trash AF  #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
Why is the warriors playing like this??? #GSWvsHOU https://t.co/7K2yigV0vL,['GSWvsHOU'],en,#GSWvsHOU
I’m telling you right now. These great games ending with referees making calls like that is getting old. What an amazing game and it ends on a call that might be made one out of 100 times in similar situations. Gross! #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
that is the worst foul call i’ve ever seen #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
Wow instead of the refs giving the rockets the timeout they call a foul 🤯🤯🤯  #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
"Warriors already have three turnovers.

Seriously, what do they do in practice? Can't stop turning the ball over and can't make free throws?

This has been a problem for multiple players for multiple years.

#GSWvsHOU",['GSWvsHOU'],en,#GSWvsHOU
That call is never made. Literally on a loose ball scramble on the ground. You could pile drive somebody and it would not be called. And in this situation? #BadCall #GSWvsHOU,"['BadCall', 'GSWvsHOU']",en,#GSWvsHOU
Can’t believe we’re losing to a guy wearing a headband and a Marge Simpson hairdo #GSWvsHOU #Liftoff,"['GSWvsHOU', 'Liftoff']",en,#GSWvsHOU
"Full Game 🏀 HIGHLIGHTS 

ROCKETS 91 VS 90 WARRIORS

#Rockets #GSWvsHOU
#Warriors 
#RocketsvsWarriors 
#NBA https://t.co/LLSJMGI6tn","['Rockets', 'GSWvsHOU', 'Warriors', 'RocketsvsWarriors', 'NBA']",en,#GSWvsHOU
Refs ready to go home #GSWvsHOU https://t.co/jPSVhtcIxg,['GSWvsHOU'],en,#GSWvsHOU
I like Steve Kerr but him being on my television right now crying is embarrassing #GSWvsHOU #Liftoff,"['GSWvsHOU', 'Liftoff']",en,#GSWvsHOU
This is exactly no one will be watching this Saturday. Stupid ass refs.  #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
Refs control tf out this game  #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
"get steve kerr out of golden state man steph dont deserve to go thru this, draymond put up a defensive masterclass and it just got ruined #GSWvsHOU",['GSWvsHOU'],en,#GSWvsHOU
"🏀 Warriors vs Rockets 🏀 

#NBA 
#GSWvsHOU https://t.co/rksULnqlVS","['NBA', 'GSWvsHOU']",en,#GSWvsHOU
Get Kuminga off this team. Can’t shoot. Can’t shoot free throws. #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
"*Note to self* never put Jalen Green on parlay when playing against the warriors, he’s trash 😂 #GSWvsHOU",['GSWvsHOU'],en,#GSWvsHOU
Do the game start at 8:30 tomorrow? #GSWvsHOU,['GSWvsHOU'],en,#GSWvsHOU
