text,all_hashtags,lang,hashtag
"Alpe Sengun will hoist a MVP trophy before it's all said and done. 

*Already 3rd in the NBA  + plus / - minus and he's only 22  #Liftoff    https://t.co/sttmMgfxmB",['Liftoff'],en,#liftoff
This is how I know the 17-8 @HoustonRockets are actually good again… #LiftOff https://t.co/MGzDX20oC7,['LiftOff'],en,#liftoff
"This our league now

#Liftoff https://t.co/46YHuEjuLO",['Liftoff'],en,#liftoff
"""When it watch Amen Thompson, I think he's the best perimeter defender in the league right now, point blank.""👀
            - Sam Vecenie[@Sam_Vecenie]

🎯🎯🎯
🔥🔥🔥
🔒🔒🔒

#Rockets #Liftoff https://t.co/IT6seozwFc","['Rockets', 'Liftoff']",en,#liftoff
MF’s tried to cheat us and we still won this dawg!!! WE GOING TO VEGAS!!! #Liftoff 🤘🏼🤘🏼🚀🚀🚀 https://t.co/wZfb8t0TFS,['Liftoff'],en,#liftoff
"Next stop.. 👀

@CorpTravelerUSA | #Liftoff https://t.co/mIsxYcbteT",['Liftoff'],en,#liftoff
"Sit back, relax, and watch the amazing ending unfold 🍿🔥 @alperennsengun #liftoff 

https://t.co/HMJVFqsBAI",['liftoff'],en,#liftoff
Lets go to war then dawg! I’m not new to this I’m true to this! #Liftoff 🤘🏼🤘🏼🚀🚀🚀 https://t.co/G4QvATyO46,['Liftoff'],en,#liftoff
"Now it’s time to beat them 15x in a row… 🚀

#Liftoff https://t.co/f6bvHQUel7",['Liftoff'],en,#liftoff
Ime Udoka winning Coach of the Year w/ the Rockets after being “screwed” out of the Celtics Job 🔥 #NBA #Liftoff #GSWvsHOU #EmiratesNBACup https://t.co/rFfPGJaO6w,"['NBA', 'Liftoff', 'GSWvsHOU', 'EmiratesNBACup']",en,#liftoff
"Steve Kerr comes off like an entitled prick. They been so used to getting all the bull shit calls in their favor that they expect them every game. When they don't get them he makes the Picachu face. Couldn't happen to a worse franchise. 

#OnToVegas
#liftoff","['OnToVegas', 'liftoff']",en,#liftoff
Here’s what it sounded like on SportsTalk790 as your @HoustonRockets defeated the @warriors to advance to Vegas! #Liftoff @SportsMT &amp; @adamclanton on the call. #Rockets https://t.co/TYJOQHVAGs,"['Liftoff', 'Rockets']",en,#liftoff
I speak for EVERY Mavericks fan when I say we’re all Rockets fans for the rest of the NBA Cup #Liftoff,['Liftoff'],en,#liftoff
"SO MUCH OF OOOMMPPHH!!! 💥💥

#Liftoff 

https://t.co/cR1blvUkkZ",['Liftoff'],en,#liftoff
"WWWWWWOCKETS‼️

#Liftoff https://t.co/QARsPsD8dU",['Liftoff'],de,#liftoff
"Steak &amp; Eggs today, in the tradition @NASA. 
I sure miss Neil and Mike.
#Apollo11 #52ndApollo11Anniversary #LiftOff #SaturnV https://t.co/IiSeQPyuni","['Apollo11', '52ndApollo11Anniversary', 'LiftOff', 'SaturnV']",en,#liftoff
"""Our next show is going to have to be if we can co-exist as a team or not, because I'm starting to believe we cant...""👀
       - Ryan Diamond[@RyanDiam15]

Agree? Why?

#Rockets #liftoff    
[@RRobinRockets] https://t.co/q2cPOILE1M","['Rockets', 'liftoff']",en,#liftoff
Steve Kerr be like “ CaNt BeLiEvE tHeY cAlLeD tHaT fOuL” 😂😂 #Liftoff https://t.co/rWZh2Ks3X9,['Liftoff'],en,#liftoff
"If the Rockets can keep Jonathan Kuminga from lookin like Kobe McJordan tomorrow, we gone beat the Dubs and if we beat the Dubs we might win the whole thing. It's on. #Liftoff https://t.co/KrvostLXQd",['Liftoff'],en,#liftoff
"""..we're a quarter way into the season, and i go 'ok man, they've convinced me, the Houston Rockets are really good team...""'
       - Tim Legler[@LegsESPN]
  
🎯🎯🎯
♨️♨️♨️
#Rockets #Liftoff https://t.co/NPKzSUq5v8","['Rockets', 'Liftoff']",en,#liftoff
"""أرسلوا مؤخ***م الذهبية إلى الولاية الذهبية!""

- ديلون بروكس خلال مقابلة جالين جرين بعد المباراة🤣!!!!
#LiftOff  
 https://t.co/xqfHFx086t",['LiftOff'],ar,#liftoff
All the complaints about empty seats in the beginning of the game but Htown showed up and showed out for the cup game. #latestarthelped #forthecup #Liftoff https://t.co/koyhiDiER4,"['latestarthelped', 'forthecup', 'Liftoff']",en,#liftoff
I like Steve Kerr but him being on my television right now crying is embarrassing #GSWvsHOU #Liftoff,"['GSWvsHOU', 'Liftoff']",en,#liftoff
The 22 and under crew all stepped up and delivered in all the critical moments last night #Liftoff #Rockets https://t.co/uVWHm9x7pt,"['Liftoff', 'Rockets']",en,#liftoff
Amen Muthafuckin Thompson. #Liftoff https://t.co/gy9WD4EDMl,['Liftoff'],en,#liftoff
we on our way to vegas lol #LiftOff https://t.co/UPN26r6fVh,['LiftOff'],en,#liftoff
"Alperen Sengun on the Houston Rockets advancing to the #EmiratesNBACup Semifinal in Las Vegas after a 28 point double double in the 91-90 win over the Golden State Warriors. @swaggyruss @alperennsengun 

#HoustonRockets #LiftOff #Rockets #NBA #ESPN https://t.co/zV3xBJiUZW","['EmiratesNBACup', 'HoustonRockets', 'LiftOff', 'Rockets', 'NBA', 'ESPN']",en,#liftoff
"@SeanUnfiltered @BLima790 @SportsMT I got the perfect candidate for Today's Shut Your Bum Ass Up And It's To Rob Manfred About This Stupid Golden Batter rule like get the hell out here with that bullcrap we don't need it whatsoever,#Liftoff,#HTownMade,Lord Colton Of Gallifrey https://t.co/9e80mV8vbS","['Liftoff', 'HTownMade']",en,#liftoff
Let's see what this young #Rockets team is really made of. #Liftoff or bust,"['Rockets', 'Liftoff']",en,#liftoff
ROCKETS WIN AND MOVE ON TO VEGAS BABY! 🚀 #LiftOff https://t.co/smf1iovPJ6,['LiftOff'],en,#liftoff
"Do you agree?
Should Reed get more burn with the starters?

[@BillSimmons]
#Rockets #Liftoff https://t.co/ZVe8MclFl9","['Rockets', 'Liftoff']",en,#liftoff
"Looking at the Houston #Rockets,  I'm looking at a team with culture and identity....Alperen Şengün is basically unstoppable..""
      - Kendrick Perkins[@KendrickPerkins]

🔥🔥🔥

#Liftoff https://t.co/gjOctuRyNA","['Rockets', 'Liftoff']",en,#liftoff
